,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,154.0,3.5631,1.122,2.094,3.2578,2.0162,High-Performance,1.8473,5.8114,2.022,3.6195,3.0907,808.2822
1,155.0,3.5301,1.1249,3.695,2.0725,2.6759,Sports,0.9917,5.6259,2.5583,3.4082,3.7147,613.6675
2,156.0,2.9678,1.2266,1.3639,2.6936,2.3472,Economy,0.3384,5.3673,2.5145,3.2326,3.5042,552.4633
3,157.0,2.8033,1.0152,3.4463,3.1219,2.2672,Sports,0.3834,5.0964,2.5863,3.7593,3.4548,586.8565
4,158.0,3.7606,1.7856,1.2156,2.132,2.8604,Sports,1.9965,5.2466,2.6202,3.2811,3.6713,477.47
5,159.0,3.339,1.0281,2.6336,3.3542,2.0456,Sports,1.5533,5.3312,2.009,3.1448,2.7728,431.075
6,160.0,2.0801,1.2404,1.5064,3.9903,2.3996,Sports,1.0901,5.1659,2.6632,3.9609,2.4265,468.3599
7,161.0,2.9730000000000003,1.2195,3.0174,3.4151,2.3637,Economy,0.4508,5.1582,2.1387,3.8545,3.8359,514.5989
8,162.0,2.251,1.1752,3.2434,3.2767,2.5809,Economy,1.9315,5.8005,2.1673,3.8774,2.0261,467.4387
9,163.0,3.0007,1.6824,3.9993,3.8705,2.9332,Sports,0.3544,5.1026,2.6723,4.795,3.0501,655.5912
10,164.0,3.7358,1.4506,3.6137,3.9817,2.4544,Economy,1.2057,5.7353,2.5878,3.8201,3.3892,706.7348
11,165.0,3.0403,1.5734,1.1606,3.5453,2.6665,Sports,1.0636,5.2679,2.9491,3.7485,2.9775,666.4964
12,166.0,2.645,1.0372,1.015,3.8104,2.3772,Sports,1.0381,5.3257,2.5346,4.9931,2.7413,872.4981
13,167.0,2.2429,1.2037,1.7245,2.7305,2.5288,Economy,0.74,5.9446,2.9945,4.9816,3.1835,996.9684
14,168.0,2.7124,1.5673,2.3699,3.6449,2.9542,High-Performance,0.2969,5.5219,2.9167,3.8524,3.0088,766.6017
15,169.0,2.1142,1.8886,3.364,3.6623,2.4439,Sports,1.6085,5.7544,2.1285,4.5933,3.1433,902.1566
16,170.0,3.7046,1.0135,3.6684,2.6812,2.583,Sports,0.3515,5.1320000000000014,2.0780000000000003,4.2379,3.8222,995.6406
17,171.0,3.6136,1.5051,1.1616,3.6663,2.9113,High-Performance,0.0165,5.9751,2.7836,4.955,2.7929,939.29
18,172.0,2.0283,1.0896,3.3512,3.4248,2.4015,Sports,1.4717,5.8699,2.2176,4.1365,3.3937,818.0372
19,173.0,3.7141,1.1451,2.7299,2.9375,2.4617,Economy,1.714,5.6707,2.5221,4.7685,3.4867,950.6926
20,174.0,3.1293,1.7672,2.1107,2.6815,2.0345,Sports,0.8744,5.3303,2.0128,3.7658,3.3548,815.7647
21,175.0,3.0593,1.8678,3.7491,3.0043,2.6671,Sports,1.4373,5.7012,2.4226,3.2281,2.6523,651.0362
22,176.0,2.0502,1.9397,1.2893,3.3066,2.8356,Sports,0.3698,5.25,2.6681,4.356,3.6771,710.3074
23,177.0,3.9664,1.9761,2.922,2.46,2.4833,Sports,0.3529,5.4035,2.1985,3.6743,2.9438,564.5936
24,178.0,3.2484,1.5687,1.8754,2.8411,2.0408,Sports,1.3495,5.6507,2.0924,4.5948,2.4687,530.5332
25,179.0,3.1776,1.1356,2.758,2.4415,2.8536,High-Performance,0.1767,5.9718,2.3214,4.4021,2.4683,602.0578
26,180.0,3.7683,1.8028,1.4093,2.3907,2.6689,Economy,0.7909,5.1843,2.692,4.7813,2.5292,696.0955
27,181.0,3.3274,1.249,2.1952,3.5501,2.932,Sports,1.6786,5.1856,2.8431,3.8718,3.9193,617.0437
28,182.0,2.7793,1.3977,1.4328,3.6267,2.3577,Sports,1.3482,5.9719,2.0591,4.678,2.8056,785.8435
29,183.0,3.4746,1.7598,3.1424,3.7923,2.1395,Sports,0.0634,5.6018,2.2813,4.1231,2.3623,727.1659
