,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,109.0,3.5923,1.6326,1.1617,3.8356,2.3596,Economy,0.969,5.0512,2.1902,3.4436,3.2472,561.4887
1,110.0,2.0101,1.6106,2.8184,3.9818,2.0296,Economy,0.9129,5.1234,2.7356,3.5396,3.6647,602.3763
2,111.0,2.3132,1.8163,1.6904,2.4885,2.2261,Sports,1.7738,5.9641,2.6913,3.9358,3.9051,584.4730000000002
3,112.0,2.0285,1.2943,3.6519,2.4907,2.2415,Sports,0.8591,5.7099,2.4025,4.7185,3.7909,512.8302
4,113.0,2.7896,1.4126,1.5256,3.6885,2.127,Economy,0.6786,5.1371,2.6898,4.2445,2.9646,579.4695
5,114.0,2.709,1.8478,3.5507,2.165,2.503,Economy,1.7135,5.8327,2.5626,4.8386,2.1396,449.7467
6,115.0,3.889,1.801,2.0673,2.7426,2.8139,High-Performance,0.4566,5.8299,2.4047,3.277,3.5046,506.6878
7,116.0,3.7725,1.4911,1.0855,3.0139,2.5559,Economy,0.0482,5.2698,2.1786,4.7541,3.0227,605.0515
8,117.0,2.7739,1.2012,1.956,2.5736,2.8412,Sports,1.8494,5.073,2.6333,4.7753,3.5472,526.2517
9,118.0,2.2317,1.5651,1.4965,2.499,2.8973,High-Performance,1.4663,5.2863,2.9342,4.7861,3.3003,524.9522
10,119.0,3.7543,1.9401,3.1109,2.1491,2.0804,Sports,1.1781,5.7742,2.6082,4.3057,3.8346,510.4023
11,120.0,3.2401,1.8436,3.6059,2.8458,2.9759,Sports,1.1076,5.1438,2.7666,4.8767,2.3799,480.7591
12,121.0,3.8515,1.1997,1.2276,2.1913,2.8739,Economy,1.3807,5.7715,2.9288,4.9646,2.2269,525.9957
13,122.0,2.0199,1.6921,2.6405,3.2242,2.9603,High-Performance,0.9992,5.9441,2.1795,4.7038,3.6068,451.0703
14,123.0,2.693,1.754,1.625,3.8516,2.8846,Economy,0.0053,5.3988,2.2285,4.7143,3.2407,539.0373
15,124.0,2.8284,1.1862,1.2591,2.1009,2.6246,Economy,0.8969,5.8132,2.1064,3.4051,3.7845,394.9193
16,125.0,2.4498,1.7919999999999998,1.9603,2.9967,2.0819,High-Performance,0.0297,5.4722,2.8884,3.1318,3.6731,295.4481
17,126.0,2.3866,1.0762,3.3571,3.5191,2.7021,Economy,0.1641,5.9144,2.7815,3.9423,3.983,394.2339
18,127.0,2.7245,1.0228,1.9465,2.1839,2.7011,High-Performance,0.6979,5.8142,2.5914,3.0914,3.448,266.7373
19,128.0,3.8994,1.892,3.0452,3.8734,2.9656,High-Performance,0.4582,5.5894,2.1034,4.052,3.6369,393.469
20,129.0,2.0331,1.5835,1.2729,2.4426,2.0424,Sports,1.3107,5.2763,2.0598,4.0498,3.1536,367.1524
21,130.0,3.4597,1.4472,1.2012,3.7132,2.8945,Sports,1.5742,5.4859,2.8187,3.2678,3.3081,436.9446
22,131.0,3.1212,1.4957,3.552,2.6937,2.6517,Economy,1.0646,5.2083,2.692,4.3976,3.2323,477.4744
23,132.0,2.7413,1.8381,3.4406,2.4108,2.9264,Sports,1.3772,5.5941,2.2148,3.4196,2.6813,478.1211
24,133.0,3.8276,1.7589,2.1353,3.1238,2.6488,Economy,0.4574,5.5594,2.7689,4.9858,3.8752,485.7899
25,134.0,3.5228,1.4245,1.6627,3.9808,2.7432,Economy,0.9937,5.6321,2.7418,3.0268,3.9858,567.4695
26,135.0,2.8296,1.8753,2.7353,3.9792,2.5074,High-Performance,0.6386,5.0232,2.6086,3.878,3.2696,556.7476
27,136.0,2.4321,1.0975,1.9328,3.4873,2.0719,Economy,1.1982,5.6711,2.5421,3.5875,3.9457,576.4048
28,137.0,2.7022,1.4592,3.2295,2.7823,2.1781,High-Performance,0.2499,5.6553,2.7138,3.1341,2.2431,520.9666
29,138.0,2.5324,1.3533,2.3649,2.4181,2.2282,Sports,0.4508,5.849,2.9982,3.3995,3.3956,422.8278
