,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,85.0,2.2213,1.3579,2.9067,3.4624,2.149,Sports,1.3631,5.4528,2.1885,3.7598,2.0986,661.084
1,86.0,2.8375,1.0729,1.8513,2.6945,2.0459,High-Performance,1.0418,5.6547,2.9077,3.9596,2.594,626.7494
2,87.0,2.5969,1.3194,1.8909,2.886,2.2602,Economy,1.1414,5.6362,2.5136,4.0458,3.6924,620.1478
3,88.0,2.0523,1.281,1.2018,2.2662,2.4047,High-Performance,1.3615,5.9752,2.1482,3.1798,2.2447,617.1399
4,89.0,3.722,1.1063,3.9444,2.1259,2.9126,Sports,1.3412,5.8607,2.3578,4.9079,2.3326,642.4824
5,90.0,2.0272,1.6484,2.1983,2.5968,2.8053,Economy,0.488,5.4861,2.7689,4.9915,2.0441,626.4312
6,91.0,2.3963,1.0288,3.7465,2.3578,2.3807,Economy,1.3385,5.0025,2.9814,3.5556,3.4645,575.3117
7,92.0,3.5196,1.7118,3.9162,3.5593,2.7508,High-Performance,0.5467,5.0097,2.6142,3.1836,3.2257,544.0292
8,93.0,3.9457,1.7598,1.0018,3.0409,2.5858,Sports,1.7489,5.835,2.4616,3.4776,3.4901,556.5218
9,94.0,2.9676,1.6268,3.3387,2.2529,2.527,Sports,1.3288,5.814,2.3984,4.0707,2.6232,569.1011
10,95.0,2.6609,1.7067,1.3528,2.6652,2.2019,Sports,1.3073,5.2414,2.3439,3.1844,2.3909,569.7313
11,96.0,3.9086,1.8696,3.3237,2.6653,2.21,Economy,0.7886,5.4169,2.108,3.0477,3.4425,544.305
12,97.0,2.3212,1.0974,1.4341,3.1846,2.1016,High-Performance,0.4523,5.5982,2.9611,4.1198,3.4237,532.6879
13,98.0,3.3929,1.858,1.2737,2.7238,2.5611,Sports,1.0659999999999998,5.2120000000000015,2.829,4.382,3.3453,498.084
14,99.0,2.6032,1.7026,1.4698,3.6365,2.9117,Economy,0.8741,5.5579,2.4951,4.3974,3.1212,505.0583
15,100.0,2.6612,1.3301,2.9281,3.9866,2.9514,Sports,1.2512,5.6324,2.2283,4.4917,2.2583,559.9295
16,101.0,2.2953,1.144,1.7235,3.0735,2.1398,High-Performance,1.5914,5.0996,2.5821,3.8489,3.219,535.5621
17,102.0,2.4014,1.8856,3.1962,2.0747,2.2225,Sports,1.0248,5.7632,2.9229,3.2391,2.6547,519.8851
18,103.0,2.2496,1.9375,2.3703,2.2718,2.6298,High-Performance,0.2644,5.6384,2.376,4.0479,2.7839,524.1114
19,104.0,3.1464,1.7498,1.3854,2.872,2.3817,Economy,1.7868,5.5366,2.552,4.0279,3.1004,490.003
20,105.0,3.1875,1.2435,1.5067,2.6143,2.2526,High-Performance,1.2771,5.74,2.6126,3.6474,2.6714,445.8305
21,106.0,2.24,1.543,1.5149,3.0527,2.2266,Sports,0.9806,5.6522,2.7733,3.7629,3.7745,466.0133
22,107.0,3.4645,1.9255,2.9115,2.2841,2.705,High-Performance,1.503,5.7739,2.2282,3.0004,2.3777,468.0801
23,108.0,3.6253,1.0995,3.8825,2.2594,2.7764,Economy,0.2754,5.2125,2.882,3.8055,2.5531,446.27
24,109.0,2.2241,1.1138,2.5309,3.8568,2.9775,Sports,0.6724,5.8852,2.6359,4.8643,3.3098,467.5452
25,110.0,2.1908,1.0908,1.7151,2.1876,2.1242,Sports,1.965,5.0788,2.3439,4.1175,3.5546,442.6665
26,111.0,3.9479,1.6583,2.9358,3.2369,2.2311,High-Performance,0.3738,5.7909,2.9281,4.4833,3.2992,420.8535
27,112.0,3.4193,1.8674,1.2058,3.1231,2.744,Sports,1.8773,5.3217,2.4377,3.3929,2.5097,432.1071
28,113.0,3.8659,1.1454,2.0034,2.4227,2.9358,Economy,0.8655,5.6802,2.7641,3.3738,3.5381,418.6961
29,114.0,3.0329,1.3735,3.8076,3.1754,2.8819,Economy,0.6102,5.2306,2.4712,4.4265,3.2463,409.9603
