,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,148.0,2.8241,1.0792,1.6925,2.552,2.9508,High-Performance,0.3392,5.792999999999998,2.6180000000000003,4.023,2.4007,815.9661
1,149.0,3.8715,1.5203,3.5227,2.5682,2.1554,High-Performance,0.5818,5.2021,2.1227,4.6335,3.8456,838.5557
2,150.0,3.831,1.4885,1.6414,2.4086,2.7414,Sports,0.6276,5.4492,2.008,4.563,3.4431,925.9845
3,151.0,2.0896,1.5078,2.1927,3.5959,2.9457,High-Performance,1.2196,5.875,2.8691,4.1439,2.09,1018.3428
4,152.0,2.7841,1.7085,2.2451,2.3003,2.5368,Economy,1.6275,5.974,2.9911,3.9642,3.1797,996.69
5,153.0,2.3567,1.3808,1.6396,2.9427,2.6954,Sports,1.6229,5.1492,2.05,4.2543,3.6537,1076.9232
6,154.0,3.4995,1.0898,1.1564,3.6783,2.9625,Sports,0.6899,5.856,2.576,3.375,2.7896,886.8677
7,155.0,3.3606,1.0568,3.6209,2.5702,2.0288,High-Performance,0.1233,5.1445,2.2126,4.9845,3.5426,915.7389
8,156.0,2.7806,1.7594,1.3999,2.3634,2.326,High-Performance,1.2789,5.2391,2.4915,3.609,3.2192,788.8272
9,157.0,3.8968,1.892,1.6081,2.1388,2.6671,Economy,1.7636,5.5668,2.8449,3.7318,3.3679,692.041
10,158.0,2.3977,1.2273,3.0549,3.8636,2.5481,Sports,1.6852,5.1342,2.4225,3.758,3.8254,687.06
11,159.0,3.7995,1.8464,2.6417,3.5951,2.8226,Economy,0.8238,5.311,2.6629,4.6634,3.9599,875.9314
12,160.0,2.1072,1.0536,1.3901,3.8685,2.736,High-Performance,1.5522,5.7365,2.0633,3.2971,2.8054,640.2583
13,161.0,3.2205,1.8528,3.0256,2.4112,2.2091,Sports,1.0412,5.5311,2.6048,3.5235,2.0744,605.065
14,162.0,2.4933,1.8866,2.1437,3.4849,2.51,Sports,0.8490000000000001,5.3733,2.9765,4.5605,3.5533,782.5738
15,163.0,3.9148,1.6842,2.9059,2.1349,2.2551,High-Performance,0.7897,5.4208,2.847,3.1985,3.28,577.6945
16,164.0,3.8549,1.2168,3.3482,3.1002,2.519,Sports,0.4123,5.1532,2.1197,3.2646,3.99,344.5073
17,165.0,2.8851,1.876,3.0041,2.5294,2.0486,Economy,1.1841,5.3142,2.1951,4.4634,2.3412,555.4702
18,166.0,2.1331,1.0001,3.7706,3.0596,2.1065,Economy,1.4425,5.0424,2.6018,3.9944,3.2647,530.8569
19,167.0,3.9674,1.5325,2.9829,2.3649,2.3313,Economy,1.8091,5.057,2.8742,4.0959,3.6178,391.5856
20,168.0,2.5833,1.4319,2.6328,2.4123,2.3947,Economy,1.7832,5.0741,2.7898,4.4193,2.4223,598.2134
21,169.0,2.8477,1.3883,3.8057,3.4801,2.1034,Economy,1.9216,5.7095,2.5202,4.1864,3.3447,729.2954
22,170.0,2.7764,1.8008,3.1852,3.9406,2.909,Sports,1.7765,5.3177,2.79,3.1175,2.0582,557.7808
23,171.0,2.9069,1.0302,1.9744,2.7189,2.5338,Economy,0.308,5.6755,2.3169,3.631,3.1779,548.3402
24,172.0,3.0639,1.7712,3.1111,2.7882,2.85,Sports,0.3181,5.9065,2.667,3.7798,2.0741,566.2127
25,173.0,2.1858,1.0277,1.0568,2.0378,2.5547,Economy,1.3095,5.473,2.4246,3.0955,2.004,337.3557
26,174.0,2.8538,1.6883,1.0569,3.8617,2.1274,Sports,0.5049,5.1437,2.8723,3.0501,2.2196,165.4264
27,175.0,3.3651,1.3579,2.8759,3.9541,2.1132,Economy,0.6352,5.5054,2.2673,4.4435,3.8211,304.7668
28,176.0,3.1811,1.1155,2.7839,2.0767,2.1987,Sports,0.741,5.1292,2.0148,3.7598,2.6746,223.5296
29,177.0,2.4481,1.5789,2.2372,2.5239,2.4714,High-Performance,0.436,5.3193,2.3688,3.5488,2.3504,119.841
