,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,131.0,2.8424,1.017,3.5221,2.3547,2.7711,Sports,0.9239,5.7401,2.0121,3.1958,2.1027,888.1153
1,132.0,3.5336,1.7803,2.1165,2.7023,2.805,High-Performance,1.9618,5.7279,2.9605,3.961,2.8186,902.3462
2,133.0,2.2411,1.3953,1.432,2.7155,2.1664,Economy,1.9345,5.0566,2.6409,3.7129,3.2055,654.5418
3,134.0,2.091,1.8579,2.6896,3.4881,2.3868,Sports,0.1598,5.4764,2.8604,4.6602,2.6011,761.925
4,135.0,2.1025,1.9338,3.1458,2.2618,2.3013,High-Performance,1.679,5.7123,2.9604,3.1971,3.1705,978.2864
5,136.0,2.7758,1.2719,2.2456,2.7387,2.0202,Economy,0.3683,5.3585,2.5166,4.4012,3.7384,820.5051
6,137.0,3.9465,1.8479,3.349,2.5106,2.1435,High-Performance,1.7733,5.1352,2.6023,3.4257,3.6792,805.2038
7,138.0,2.0393,1.4692,3.1018,2.2501,2.5767,Sports,0.6509999999999999,5.0799,2.5359,4.1215,2.5582,1008.0626
8,139.0,2.0589,1.7973,1.3244,2.3701,2.1498,Economy,1.745,5.8856,2.0602,4.6228,2.9601,741.7492
9,140.0,2.1045,1.8232,3.5415,2.1843,2.5318,Sports,0.4698,5.1231,2.9095,3.0894,3.3201,598.9155
10,141.0,2.2929,1.3282,2.0926,2.9206,2.2437,Sports,1.5589,5.0294,2.4279,3.7446,2.7339,854.7365
11,142.0,2.6739,1.3259999999999998,3.3754,2.648,2.1378,Economy,1.5358,5.5512,2.6673,3.5519,3.4564,676.1516
12,143.0,3.6743,1.4595,1.1883,2.028,2.6343,High-Performance,0.8066,5.3263,2.7908,3.3735,2.7413,502.1341
13,144.0,3.0413,1.5527,3.093,2.6391,2.1761,High-Performance,1.9091,5.5109,2.7913,3.1406,3.0161,707.4704
14,145.0,3.2336,1.1788,2.4348,2.213,2.6397,Economy,0.8351,5.0075,2.2387,4.9995,2.8896,619.7356
15,146.0,3.4288,1.9794,1.9318,2.3199,2.6922,High-Performance,1.3376,5.711,2.7297,3.9734,2.3529,526.3688
16,147.0,3.2328,1.7977,1.5941,2.5897,2.2761,Sports,1.7801,5.3836,2.1812,3.8838,2.1293,252.1281
17,148.0,2.9656,1.4122,2.2301,3.4546,2.3177,High-Performance,0.4362,5.7076,2.4781,4.6448,3.9233,471.7307
18,149.0,2.9872,1.3906,2.9379,3.2778,2.4744,Sports,0.573,5.7892,2.8116,4.9253,2.7013,528.0639
19,150.0,3.1985,1.9408,2.4256,2.6474,2.2234,Economy,1.7497,5.3969,2.5194,4.0708,2.8234,571.5977
20,151.0,2.3792,1.2124,1.9142,3.4238,2.0482,High-Performance,1.4234,5.7193,2.4495,4.6826,3.7295,637.7999
21,152.0,2.0832,1.2083,2.2576,3.6753,2.2313,High-Performance,0.7163,5.832000000000002,2.1625,3.5154,2.6415,753.8862
22,153.0,3.1269,1.187,3.0888,3.5712,2.972,Sports,1.3451,5.9546,2.3204,4.5354,3.2682,841.2115
23,154.0,3.3957,1.7636,1.0264,2.4287,2.4022,Sports,1.3119999999999998,5.0469,2.1362,4.8321,3.9414,619.3207
24,155.0,3.7295,1.0661,3.4072,2.2718,2.4476,Economy,1.5666,5.1292,2.8916,3.8841,2.9364,555.1472
25,156.0,3.7399,1.7537,1.9933,3.9028,2.1432,Economy,1.9426,5.8713,2.0644,4.7389,2.6830000000000003,801.4046
26,157.0,3.1573,1.9167,3.5547,3.873,2.7809,High-Performance,0.4477,5.4201,2.7819,4.2022,2.5775,758.7723
27,158.0,2.3028,1.0232,3.4018,2.0726,2.0208,Sports,0.9458,5.1065,2.3047,4.0024,2.6881,634.6522
28,159.0,3.3132,1.6205,3.6832,3.5780000000000003,2.8915,High-Performance,1.4264,5.7941,2.7582,4.5043,2.9503,1244.7339
29,160.0,3.4294,1.2844,2.6698,3.2951,2.6388,Economy,1.3844,5.6598,2.3799,3.3675,2.6118,1130.9767
