,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,162.0,3.921,1.5944,2.0811,3.5083,2.1427,Sports,1.2212,5.4566,2.1942,4.5865,2.8877,971.5248
1,163.0,2.3267,1.6053,2.6201,2.0117,2.0988,High-Performance,1.9804,5.8565,2.7576,4.4031,3.4730000000000003,948.9352
2,164.0,2.2098,1.7503,3.0069,3.9538,2.9725,Economy,1.8447,5.0191,2.983,4.6713,2.6494,855.1198
3,165.0,2.3713,1.5618,1.0783,3.9921,2.0102,Economy,1.7922,5.033,2.4007,4.0449,2.2882,737.2085
4,166.0,2.8851,1.9421,3.0593,3.2862,2.3608,High-Performance,0.7125,5.2991,2.3448,4.0645,2.3763,687.6071
5,167.0,2.9356,1.726,2.7346,2.1092,2.542,Sports,0.0119,5.2907,2.9348,3.2317,2.245,660.7046
6,168.0,2.8244,1.5951,3.0544,3.3748,2.1383,Economy,1.1854,5.9256,2.0063,4.9910000000000005,2.3319,709.8530000000002
7,169.0,2.2592,1.7905,3.8471,3.577,2.9849,Sports,1.1371,5.9959,2.1971,3.4688,3.5122,834.7694
8,170.0,3.5138,1.6528,2.0286,2.3782,2.7078,Sports,1.3245,5.7064,2.4677,4.9238,3.8824,947.0203
9,171.0,2.5327,1.916,2.677,3.2007,2.9848,High-Performance,1.3125,5.787000000000001,2.3243,4.6536,2.9861,921.3531
10,172.0,3.3703,1.6409,3.4473,3.7415,2.5706,Economy,1.6503,5.2876,2.7294,4.9738,2.8207,938.0514
11,173.0,2.419,1.1972,3.3192,2.9360000000000004,2.1458,High-Performance,0.8568,5.0831,2.9933,3.1772,2.3849,796.7393
12,174.0,2.1158,1.2877,2.9768,2.0154,2.4311,High-Performance,1.4828,5.3624,2.2452,4.0927,2.768,683.9355
13,175.0,3.9716,1.0807,3.6204,3.2633,2.2695,High-Performance,1.6172,5.1747,2.7388,3.1405,3.2576,719.5019
14,176.0,2.2548,1.4280000000000002,2.5338,2.9883,2.9343,Economy,0.0188,5.8493,2.2309,4.8315,2.1593,656.7741
15,177.0,3.4574,1.9343,1.5223,2.8463,2.6042,High-Performance,1.8027,5.4764,2.5311,3.4002,2.8683,755.204
16,178.0,2.397,1.1546,1.6514,2.5404,2.1129,Economy,1.5991,5.0188,2.0934,3.6094,3.103,688.4757
17,179.0,3.9468,1.8593,3.7618,2.5713,2.1774,Economy,1.1866,5.2865,2.5265,3.1172,3.4788,711.0042
18,180.0,3.0122,1.6921,3.08,3.1449,2.9616,Economy,0.2986,5.3253,2.4234,3.4598,2.1975,719.0938
19,181.0,2.8809,1.0044,2.5473,3.5294,2.2234,High-Performance,0.5863,5.4087,2.2349,4.5049,3.6434,676.3877
20,182.0,3.4538,1.6505,1.3593,2.5441,2.5319,Economy,1.9057,5.0136,2.4509,4.5601,2.156,670.5512
21,183.0,2.341,1.939,1.4755,2.8139,2.2427,Economy,0.7388,5.6997,2.5369,3.8512,3.9423,642.0046
22,184.0,3.9691,1.4771,1.1542,3.7289,2.8632,Sports,0.2662,5.7831,2.9891,4.5807,3.6883,765.4299
23,185.0,3.8182,1.5623,1.6904,2.0751,2.9471,Economy,0.8751,5.5451,2.8507,3.1078,3.0323,817.8413
24,186.0,3.0595,1.1401,2.3667,2.2794,2.1889,Economy,1.6118,5.7869,2.0116,4.4141,2.9015,827.5269999999998
25,187.0,2.591,1.1368,2.2511,3.0679,2.3216,Economy,1.8004,5.1168,2.8023,3.714,2.0886,807.2713
26,188.0,3.9966,1.4162,1.9736,3.7706,2.0066,Sports,1.0675,5.0742,2.3663,3.8747,2.9761,749.2488
27,189.0,2.9138,1.607,1.8594,3.9125,2.4017,Economy,0.2968,5.3936,2.6695,3.5959,3.9967,628.2301
28,190.0,2.457,1.9498,1.6432,2.0808,2.9911,High-Performance,1.8755,5.3785,2.5748,4.4692,2.2882,553.6276
29,191.0,2.5176,1.4088,2.8674,3.327,2.387,Sports,0.2566,5.6369,2.0181,3.8745,3.3461,519.5327
