,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,85.0,3.8236,1.8729,1.3892,2.3769,2.8486,Sports,0.2871,5.7891,2.1535,3.6223,3.5617,584.9802
1,86.0,3.7034,1.9308,2.2049,2.3854,2.444,High-Performance,1.4078,5.5668,2.8572,3.8664,2.4287,544.3633
2,87.0,3.1555,1.2634,3.2439,3.6945,2.2031,Economy,1.7921,5.7588,2.7687,4.4958,3.4872,556.3939
3,88.0,3.7687,1.2331,1.2481,2.7431,2.4068,High-Performance,0.8052,5.0825,2.0128,3.0375,2.9089,531.4626
4,89.0,2.769,1.1338,1.8977,3.6338,2.2171,Sports,1.0932,5.3254,2.2613,4.0294,3.4965,396.0915
5,90.0,3.5255,1.1654,3.6964,3.5213,2.2297,Economy,0.2968,5.2284,2.9619,4.7968,2.2142,482.8948
6,91.0,3.9248,1.2799,2.0762,3.435,2.1913,Sports,0.1757,5.5463,2.6936,4.1960000000000015,3.2579,511.8055
7,92.0,3.7653,1.8911,1.5429,3.8658,2.2418,High-Performance,1.592,5.1565,2.1831,4.1951,3.8636,386.7044
8,93.0,3.2448,1.9891,3.9534,3.0696,2.9042,High-Performance,1.4854,5.2231,2.408,4.7054,2.9216,431.231
9,94.0,2.1891,1.325,2.4996,2.8918,2.0421,Sports,1.8165,5.4173,2.1734,3.8984,3.1231,487.3016
10,95.0,2.8834,1.6049,2.4721,3.0125,2.2928,High-Performance,1.5064,5.9591,2.4054,4.2725,3.9129,428.3738
11,96.0,3.0236,1.2415,1.7549,2.5224,2.9875,Sports,0.3591,5.13,2.5379,4.6907,3.1022,423.1565
12,97.0,2.629,1.8984,2.0179,3.5312,2.5596,Sports,1.5547,5.048,2.3516,3.2942,3.4228,432.2226
13,98.0,2.8863,1.354,3.2482,3.5515,2.3858,Sports,0.8827,5.3244,2.5964,4.0998,3.3364,400.1975
14,99.0,2.2679,1.6742,3.9307,3.0192,2.9698,High-Performance,0.1325,5.0566,2.5621,3.4444,2.9803,420.3996
15,100.0,2.4812,1.664,2.7533,3.6564,2.3565,Sports,0.1987,5.9377,2.4862,4.0393,2.9226,388.2933
16,101.0,2.2727,1.0387,2.1144,2.2777,2.9526,Economy,0.4232,5.1651,2.9601,4.6429,2.8280000000000003,412.3471
17,102.0,3.0969,1.2248,3.3818,2.5495,2.9866,Sports,0.6108,5.5696,2.4559,4.722,3.5134,437.0416
18,103.0,2.8494,1.5356,3.7547,3.5116,2.8107,High-Performance,1.319,5.9625,2.8751,3.4314,2.7905,500.6446
19,104.0,2.9761,1.6933,1.5346,3.9091,2.1023,Economy,1.9203,5.5929,2.489,4.813,2.938,457.4775
20,105.0,2.6681,1.2768,1.7053,2.4699,2.1104,High-Performance,0.5615,5.2843,2.9234,4.1194,3.9958,383.7118
21,106.0,3.6683,1.1844,2.9727,3.099,2.3336,Economy,0.3636,5.9083,2.8277,3.8907,3.5706,446.7097
22,107.0,2.6224,1.0357,1.0298,2.8542,2.6448,Sports,0.3649,5.317,2.1909,3.7251,3.6262,395.5029
23,108.0,2.5632,1.4352,3.7261,3.674,2.9552,Economy,1.1471,5.5855,2.2799,4.9582,3.5891,298.4022
24,109.0,2.1385,1.8684,3.2525,3.8525,2.3408,Sports,1.4609,5.7085,2.6835,3.0477,3.8398,369.8473
25,110.0,2.0077,1.9757,1.6389,2.2535,2.8805,Sports,0.7504,5.9124,2.7435,3.5861,2.5442,362.7003
26,111.0,2.8426,1.5747,3.2964,2.5528,2.0204,Economy,1.1435,5.3368,2.2926,3.3508,2.1055,291.9428
27,112.0,2.2299,1.6514,3.9961,3.3496,2.5751,Economy,1.8503,5.1264,2.1098,4.1466,3.1931,397.1714
28,113.0,2.1563,1.7076,2.1307,2.2265,2.7645,Sports,0.2677,5.4701,2.8594,3.0998,2.5259,334.5127
29,114.0,2.3135,1.7611,2.4653,2.3654,2.6685,High-Performance,1.0027,5.8174,2.6458,3.2458,3.1163,281.7531
