,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,115.0,3.6496,1.1824,1.3399,3.0197,2.882,Economy,1.4755,5.5327,2.6435,3.6323,2.5243,616.1196
1,116.0,3.229,1.062,3.8682,2.3592,2.8953,High-Performance,0.2872,5.4124,2.4006,4.5607,2.9718,589.5942
2,117.0,3.077,1.0759999999999998,2.6708,3.5938,2.0701,High-Performance,0.3378,5.5923,2.1726,4.0175,2.5765,521.6211
3,118.0,3.6103,1.6521,2.2793,3.939,2.4887,Sports,0.1178,5.8837,2.8152,3.6424,2.0745,651.5543
4,119.0,2.3754,1.4915,1.2618,3.1685,2.6460000000000004,High-Performance,1.93,5.4131,2.8705,3.447,3.5821,647.1875
5,120.0,2.3257,1.1471,2.8033,3.6502,2.8833,Economy,0.0847,5.1208,2.6853,3.5025,2.3656,547.6519999999998
6,121.0,3.3467,1.5666,1.3379,2.8317,2.1425,Sports,1.168,5.6226,2.4651,3.7327,2.3374,568.7278
7,122.0,2.9567,1.4676,1.4664,3.1523,2.4218,Economy,0.2696,5.7715,2.9504,3.9182,3.6074,556.9936
8,123.0,3.9198,1.8187,1.5101,3.9351,2.8696,Economy,1.0983,5.1993,2.5976,3.858,3.019,638.606
9,124.0,3.4498,1.6177,3.6497,3.3383,2.3594,Economy,1.064,5.8002,2.0592,3.8201,3.139,612.3749
10,125.0,3.2234,1.939,2.1704,3.7026,2.6662,Economy,1.4777,5.8081,2.4265,3.7976,3.1695,637.1027
11,126.0,3.2251,1.6208,2.9782,2.4605,2.2706,High-Performance,0.5956,5.5543,2.1235,4.2691,3.0751,612.866
12,127.0,2.1535,1.3487,1.8149,3.9315,2.9514,Sports,0.8371,5.06,2.3652,4.2196,3.6438,467.0152
13,128.0,3.1328,1.4497,2.7301,3.5973,2.6374,Economy,1.703,5.0083,2.9714,4.2010000000000005,2.2266,487.5182
14,129.0,3.849,1.9532,3.7683,2.4949,2.4330000000000003,High-Performance,0.5006,5.4461,2.4363,4.5531,2.4119,521.7474
15,130.0,2.5707,1.2518,1.7351,2.7073,2.3859,Sports,0.0308,5.688,2.7621,4.7931,2.7574,430.8199
16,131.0,2.2096,1.4015,2.8399,2.0764,2.395,High-Performance,0.7313,5.6427,2.6472,3.7907,3.3463,429.2137
17,132.0,2.9884,1.8365,3.8245,2.5969,2.7799,Economy,1.0933,5.6086,2.3598,4.6046,2.1086,424.9380000000001
18,133.0,2.3439,1.5443,3.5478,2.4524,2.3678,Economy,0.1214,5.8809,2.3418,4.5511,3.8009,250.1281
19,134.0,3.729,1.4492,1.6718,2.5043,2.1275,High-Performance,1.868,5.617000000000001,2.1433,4.9743,2.9928,255.7157
20,135.0,3.3237,1.3455,3.6413,3.1267,2.107,Sports,1.6499,5.7108,2.8229,3.6231,2.7239,347.4308
21,136.0,2.0222,1.2465,1.8395,2.2864,2.3532,Economy,1.1813,5.7125,2.5402,4.1917,3.2068,310.4973
22,137.0,2.3333,1.7479,3.1719,3.6598,2.0811,Sports,1.7689,5.5791,2.1739,3.515,2.0396,262.5216
23,138.0,2.2272,1.2816,2.8935,3.2663,2.3086,Sports,0.8866,5.3051,2.9725,4.3332,2.1776,265.7858
24,139.0,3.8416,1.0711,2.8204,2.0217,2.1205,Sports,0.4982,5.2501,2.5729,4.8043,2.0149,294.8197
25,140.0,2.2223,1.8605,2.3263,3.7299,2.7326,Sports,1.5691,5.4765,2.7332,4.8668,3.0474,232.2759
26,141.0,3.1927,1.5864,1.5224,2.1991,2.9118,High-Performance,1.2894,5.533,2.0614,3.5761,2.7048,260.8157
27,142.0,2.2292,1.7219,3.905,3.4651,2.2786,Sports,0.1042,5.8869,2.0974,4.3304,3.4384,174.6336
28,143.0,3.5037,1.4061,3.7154,2.5696,2.3295,Sports,1.9517,5.7161,2.3843,4.3312,2.2565,214.4005
29,144.0,3.3063,1.6928,1.3605,3.3721,2.5196,Economy,0.5616,5.5731,2.9793,4.0064,3.955,282.6062
