,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,173.0,3.4866,1.6519,2.1186,2.5824,2.6706,High-Performance,0.353,5.9894,2.3215,3.5235,3.9282,702.3061
1,174.0,3.8246,1.019,1.0544,2.2894,2.9991,Sports,0.4320000000000001,5.2197,2.1599,4.2178,2.2124,727.3816
2,175.0,2.5549,1.1381,2.2732,2.1891,2.9399,Economy,0.6496,5.7324,2.9307,3.6653,2.6166,722.1642
3,176.0,2.0773,1.6371,2.6838,3.6866,2.0525,High-Performance,0.0719,5.0138,2.7675,4.9643,3.894,713.5612
4,177.0,3.3366,1.1662,1.6218,3.3174,2.0274,Economy,1.4607,5.6271,2.4231,3.8648,2.761,672.8648
5,178.0,3.5415,1.2854,1.4469,3.3998,2.8387,Economy,1.8548,5.6876,2.5204,3.6247,3.9454,699.8591
6,179.0,3.9455,1.0148,1.9385,2.1823,2.2712,Economy,0.5798,5.7526,2.7118,3.8126,2.4835,764.0506
7,180.0,2.5263,1.0833,1.3342,2.3268,2.2652,High-Performance,1.2007,5.9860000000000015,2.1478,4.3336,2.4295,786.9133
8,181.0,3.2737,1.8676,2.4827,3.737,2.0102,Economy,0.7273,5.1139,2.112,4.6991,2.5201,781.5762
9,182.0,2.68,1.9441,1.8766,3.5244,2.6809,Sports,0.5626,5.5039,2.5593,4.7608,3.4806,683.5976
10,183.0,2.2488,1.1699,3.2211,2.6894,2.4579,Economy,1.1442,5.5156,2.0395,3.1637,2.4383,649.9335
11,184.0,2.7579,1.5719999999999998,3.1763,2.5453,2.3319,Economy,0.9002,5.9398,2.3146,4.6921,2.4932,661.0746
12,185.0,3.0814,1.3095,3.6832,3.0067,2.8895,High-Performance,1.2641,5.5939,2.5985,4.4443,2.1267,675.39
13,186.0,2.0983,1.6146,1.5717,2.8671,2.9783,High-Performance,0.2363,5.7401,2.6086,3.0087,3.3651,675.5348
14,187.0,3.1165,1.8037,1.7407,2.3473,2.9396,Sports,1.5486,5.6256,2.595,3.1539,2.2854,698.5598
15,188.0,3.6391,1.1943,2.4875,3.6855,2.7084,Economy,0.4874,5.1179,2.02,4.3341,3.2495,641.0068
16,189.0,3.8158,1.5159,1.5924,3.8367,2.7252,Economy,1.3577,5.5765,2.2607,3.4152,3.6242,566.887
17,190.0,2.7401,1.9661,3.5313,3.6168,2.8722,Economy,1.4779,5.267,2.6511,4.5219,3.5207,559.928
18,191.0,2.4252,1.0124,3.8765,3.5215,2.6347,High-Performance,0.5139,5.012,2.5942,4.3437,3.6963,463.86
19,192.0,2.2069,1.4361,1.7,3.7911,2.9473,Economy,1.3314,5.2786,2.2409,3.4525,2.794,385.5299
20,193.0,3.4466,1.6257,1.6875,2.6735,2.2244,High-Performance,1.2803,5.7391,2.295,4.5613,2.674,448.632
21,194.0,3.4148,1.1212,1.6657,3.6492,2.5875,Sports,1.1377,5.3011,2.4258,3.425,2.4001,439.2324
22,195.0,3.3942,1.0169,3.3394,3.9219,2.6798,Sports,0.1325,5.9589,2.395,4.8998,3.2165,491.1648
23,196.0,3.4498,1.9398,2.481,3.6794,2.7207,Economy,0.405,5.5078,2.7776,3.515,2.015,605.742
24,197.0,3.1366,1.5326,3.5389,2.2313,2.0689,Economy,0.7077,5.7156,2.9719,3.5452,3.926,603.0797
25,198.0,2.5727,1.4481,3.0210000000000004,3.4078,2.4164,Sports,0.9719,5.1747,2.8471,3.0410000000000004,2.0764,548.4658
26,199.0,3.1193,1.9695,2.6231,3.0582,2.1334,Sports,0.1884,5.278,2.3496,3.5969,2.2868,482.0303
27,200.0,2.7507,1.791,3.2606,2.0812,2.7964,Economy,1.1376,5.5908,2.8068,4.0212,3.1272,432.8130000000001
28,201.0,3.3452,1.2828,2.9077,2.532,2.1118,Sports,0.4644,5.1677,2.1762,4.7165,3.8489,393.6797
29,202.0,3.6979,1.5061,2.5507,3.9624,2.978,High-Performance,1.1852,5.261,2.7821,3.8076,3.5089,333.1989
