,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,106.0,3.253,1.7274,2.7555,3.4736,2.9817,Economy,0.5995,5.0954,2.0696,4.3542,3.3746,440.4807
1,107.0,2.1772,1.8607,3.7491,2.9764,2.8056,Economy,0.6365,5.8368,2.1935,3.3074,3.567,367.9708
2,108.0,3.6348,1.6254,1.2955,3.9434,2.6426,Sports,1.0437,5.3079,2.2682,3.7867,3.2667,477.9081
3,109.0,3.4754,1.9059,2.2333,3.8233,2.5027,Sports,1.4057,5.6235,2.5213,3.2293,2.3092,554.5614
4,110.0,3.235,1.3159,1.4265,3.1752,2.2174,Economy,0.6456,5.843,2.2514,4.4961,3.5211,471.8391
5,111.0,2.8467,1.0251,1.4599,3.478,2.349,Economy,1.0465,5.7612,2.8310000000000004,4.681,3.5707,486.3209
6,112.0,2.2325,1.8381,3.1351,3.7386,2.7871,High-Performance,1.6746,5.7138,2.7383,3.2104,2.622,525.7616
7,113.0,3.3238,1.4948,2.6828,2.2214,2.5748,Economy,0.9327,5.438,2.2805,4.8419,2.8113,350.9695
8,114.0,2.7587,1.8722,2.3917,3.5101,2.0008,High-Performance,0.3124,5.6821,2.8339,4.0834,2.0363,335.6416
9,115.0,3.0803,1.0691,1.7399,2.6288,2.0011,Economy,1.2856,5.029,2.3761,4.3015,2.3267,296.0592
10,116.0,3.4049,1.3039,3.8087,2.5868,2.7417,Economy,1.6769,5.1733,2.2609,3.5895,2.1789,206.8711
11,117.0,3.2633,1.0109,3.7096,2.0999,2.819,Sports,1.5108,5.9171,2.9246,3.0347,2.1486,137.0621
12,118.0,2.8537,1.4053,1.887,3.2055,2.6335,Sports,1.186,5.7596,2.8158,3.9241,2.3915,147.4614
13,119.0,3.9919,1.7664,1.4639,2.6801,2.2638,High-Performance,0.8069,5.5974,2.0332,3.1192,3.7942,116.2649
14,120.0,3.0498,1.3151,2.1248,2.9707,2.0665,Sports,1.243,5.8945,2.0595,3.2701,2.3946,122.2231
15,121.0,3.9738,1.2017,2.6862,3.9898,2.9612,High-Performance,0.5458,5.2478,2.8873,3.1663,2.9711,235.2431
16,122.0,3.3436,1.986,1.7701,2.1861,2.7582,Economy,1.6928,5.2827,2.6663,4.2703,3.1965,202.5487
17,123.0,3.9331,1.3861,2.4473,2.2492,2.2451,High-Performance,1.8655,5.2122,2.3788,4.1995,2.3901,158.6647
18,124.0,3.2154,1.6398,3.7178,2.6684,2.753,Economy,1.6489,5.3664,2.44,3.9316,2.0703,219.7068
19,125.0,2.8273,1.0428,3.3822,2.8649,2.0643,Economy,0.2237,5.7175,2.3512,3.255,2.1576,86.1333
20,126.0,2.3615,1.0659999999999998,2.7879,3.8185,2.9643,Sports,1.8862,5.3416,2.4342,4.7549,2.0632,96.5515
21,127.0,2.4322,1.8428,2.5427,2.4589,2.122,Sports,0.974,5.9695,2.5417,4.0854,3.6679,67.1727
22,128.0,2.064,1.0571,2.4321,3.5947,2.7949,Sports,0.1104,5.8193,2.8145,4.9844,2.7515,127.7904
23,129.0,2.6163,1.742,2.0549,3.5092,2.4169,Economy,0.1644,5.7529,2.1672,4.3996,3.4443,169.6834
24,130.0,2.5557,1.8618,3.3556,2.8579,2.5486,High-Performance,1.1241,5.9801,2.8622,3.3005,3.6123,141.3138
25,131.0,2.894,1.6909,1.7044,3.0666,2.8126,High-Performance,1.7358,5.2746,2.9306,4.6479,3.9138,139.2737
26,132.0,3.9116,1.3431,2.932,3.1965,2.8999,High-Performance,0.8176,5.0018,2.5293,4.4072,2.3623,163.3388
27,133.0,3.9353,1.0161,1.3213,3.9654,2.0783,Sports,1.9169,5.5263,2.1833,4.7232,3.8211,184.1683
28,134.0,2.8454,1.6414,1.0445,2.0677,2.6555,Economy,0.9263,5.8442,2.8015,4.501,3.8667,74.53
29,135.0,3.6374,1.0404,2.3463,2.5004,2.6119,Economy,0.8356,5.9206,2.9705,3.4161,2.5424,69.9557
