,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,123.0,3.4760000000000004,1.8473,2.5894,3.088,2.6129,High-Performance,0.8564,5.1484,2.2866,3.358,3.5306,664.9059
1,124.0,3.1486,1.5426,1.0103,3.8438,2.1259,Sports,1.6184,5.2346,2.9736,4.8762,2.5594,533.7925
2,125.0,3.0424,1.1562,1.4049,3.334,2.9464,Sports,0.7193,5.2645,2.5987,4.4381,2.8199,521.7718
3,126.0,3.9598,1.7252,1.5716,2.792,2.9045,Sports,1.5358,5.2765,2.2243,4.9654,2.9086,528.4094
4,127.0,2.2335,1.6657,1.4642,3.0437,2.6325,High-Performance,1.2886,5.8639,2.547,4.0299,3.1492,401.0778
5,128.0,2.8532,1.6925,3.4774,3.0121,2.2848,Sports,0.0021,5.0521,2.5961,4.6080000000000005,3.6871,384.6543
6,129.0,3.48,1.0183,1.4626,3.949,2.1654,High-Performance,0.7592,5.2084,2.1487,4.6431,2.6818,408.3975
7,130.0,3.0492,1.5898,3.7316,3.5674,2.4218,Sports,0.7151,5.8932,2.6306,3.6486,3.653,412.1202
8,131.0,3.7774,1.1219,3.8718,2.1045,2.8960000000000004,Sports,1.1365,5.6963,2.2977,4.4823,2.8222,495.4953
9,132.0,2.0375,1.1975,1.3375,3.868,2.2323,Sports,0.9387,5.6615,2.6443,3.934,2.5234,491.925
10,133.0,2.4771,1.4944,3.3059,3.182,2.8775,Economy,0.8696,5.3584,2.898,3.6596,2.1814,363.8874
11,134.0,2.2138,1.9724,3.1489,2.1934,2.9048,High-Performance,0.5907,5.5991,2.1923,4.1363,3.8153,416.2912
12,135.0,2.6081,1.412,3.1059,2.7931,2.8524,High-Performance,1.5722,5.3059,2.0019,3.9989,2.2753,288.7993
13,136.0,3.2893,1.3795,2.8704,2.9232,2.7759,Sports,0.1169,5.4126,2.0087,3.9789,3.8253,241.3446
14,137.0,2.4534,1.4524,2.2975,2.2154,2.5269,Economy,0.7882,5.3179,2.5865,3.7319,2.6041,249.5397
15,138.0,3.2366,1.3755,1.2828,2.6927,2.5551,Economy,0.9577,5.5269,2.0258,4.0433,3.9535,269.72
16,139.0,3.9319,1.0196,3.0854,3.055,2.5508,High-Performance,0.922,5.5537,2.3101,4.0006,3.3156,295.7793
17,140.0,3.6513,1.0398,1.0728,2.1265,2.7021,Sports,0.2697,5.9929,2.1742,3.2143,3.1544,294.9627
18,141.0,3.5157,1.7411,1.4124,3.6166,2.3774,Economy,1.7934,5.4123,2.1062,4.947,2.7989,242.212
19,142.0,3.8754,1.8468,3.4949,2.3665,2.005,High-Performance,1.9772,5.3091,2.4283,4.0467,2.1295,315.4082
20,143.0,2.1135,1.3412,3.9881,3.1371,2.2881,Economy,0.703,5.5986,2.0121,3.1852,2.0408,286.5687
21,144.0,3.2509,1.4618,1.0662,2.0958,2.319,High-Performance,1.8035,5.7924,2.9459,3.6744,3.2826,203.8046
22,145.0,2.6756,1.8203,3.1274,3.3366,2.8843,Economy,1.4135,5.6187,2.8944,3.6523,2.5355,195.2707
23,146.0,3.5614,1.6858,3.3087,3.2263,2.0181,High-Performance,0.5902,5.053,2.233,3.0053,2.6026,283.9538
24,147.0,2.899,1.8473,3.028,2.3692,2.6548,Sports,1.6302,5.2199,2.3003,4.668,3.2252,247.697
25,148.0,2.6853,1.5633,3.7052,2.6502,2.071,High-Performance,0.5844,5.0595,2.5795,3.5519,3.2707,231.3042
26,149.0,3.2109,1.8486,2.1911,3.6009,2.5181,Economy,0.7112,5.3327,2.2965,3.1266,3.1156,289.5155
27,150.0,2.7137,1.3617,2.5894,3.7266,2.7628,Sports,1.3466,5.7365,2.4152,3.2211,2.4296,200.2227
28,151.0,3.3807,1.56,1.2171,2.6092,2.3869,Sports,1.9846,5.1577,2.5122,4.1155,3.8579,204.569
29,152.0,3.7269,1.0468,1.9542,3.0357,2.5046,Sports,0.9678,5.1947,2.7817,3.3709,3.3936,209.53
