,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,89.0,3.6542,1.6609,3.1245,3.2877,2.6162,Sports,1.9501,5.75,2.5035,3.7222,2.5351,469.4663
1,90.0,2.7944,1.6472,2.6756,3.8794,2.1206,Sports,1.4646,5.4153,2.2292,3.327,3.7444,446.4237
2,91.0,2.4845,1.3902,2.5539,3.5048,2.3402,Economy,0.1543,5.2958,2.5324,4.083,3.0988,385.9493
3,92.0,2.7579,1.4128,3.3064,2.511,2.2865,Economy,1.1819,5.2166,2.4304,3.8587,2.4169,374.1029
4,93.0,2.1435,1.8258,1.8443,3.4724,2.0478,Economy,1.0195,5.8223,2.4771,4.7543,3.3934,356.7784
5,94.0,2.0405,1.3953,1.2799,2.6916,2.9799,Economy,1.9676,5.3148,2.3471,4.072,3.1765,362.1011
6,95.0,3.2002,1.4372,3.8561,2.8446,2.1872,Sports,0.7498,5.149,2.0181,3.4833,2.6352,299.9517
7,96.0,3.1278,1.0663,3.9628,3.3072,2.8869,Sports,1.3822,5.6452,2.1952,4.828,3.4265,332.8378
8,97.0,3.6785,1.1909,3.3604,3.3339,2.2055,Economy,0.4943,5.9632,2.4330000000000003,4.9021,3.8924,358.6958
9,98.0,2.7852,1.579,1.2206,3.3248,2.54,Sports,0.2799,5.5995,2.5681,4.4537,3.3878,367.6752
10,99.0,2.2525,1.8944,1.0449,3.9195,2.2992,High-Performance,1.3547,5.922999999999999,2.757,4.9383,3.4805,389.6726
11,100.0,3.1156,1.3555,2.5786,2.4914,2.4581,Sports,0.4928,5.3737,2.2713,3.3356,3.6246,413.2831
12,101.0,3.7098,1.9548,1.6296,3.1016,2.9636,High-Performance,1.5513,5.062,2.129,3.1064,3.3798,395.639
13,102.0,3.6864,1.6639,3.2915,2.5051,2.0613,High-Performance,1.921,5.4569,2.2719,4.4384,2.1478,340.3627
14,103.0,3.037,1.9925,3.934,3.7051,2.5023,High-Performance,1.7135,5.3818,2.8937,3.6836,2.7322,360.6347
15,104.0,3.2593,1.293,2.3995,3.5286,2.7064,Economy,0.8633,5.3692,2.3239,3.0086,2.6909,296.6619
16,105.0,2.8048,1.0556,1.484,3.9918,2.1615,High-Performance,0.8592,5.9562,2.103,4.0621,2.1025,223.5999
17,106.0,2.8493,1.5228,3.4436,3.936,2.8887,Sports,0.5019,5.7991,2.9191,4.2648,2.1624,219.8116
18,107.0,2.2674,1.1827,2.7213,3.4126,2.5979,High-Performance,0.9233,5.7043,2.8255,4.099,3.7913,288.4035
19,108.0,2.6821,1.092,1.2981,2.7449,2.052,Sports,0.9637,5.1383,2.8756,4.3169,2.2916,225.7434
20,109.0,3.8218,1.9197,1.9791,3.6856,2.2917,High-Performance,1.5058,5.745,2.5098,3.893,3.3436,256.0676
21,110.0,3.2467,1.4722,1.5405,2.0021,2.1069,High-Performance,1.0857,5.7048,2.306,3.4423,3.1952,239.1945
22,111.0,2.9195,1.9145,3.723,3.4845,2.1139,High-Performance,0.0441,5.0148,2.9822,3.5735,2.0442,219.5444
23,112.0,2.9572,1.9296,2.3049,2.3129,2.0769,High-Performance,0.0593,5.2065,2.6863,4.1886,2.8383,195.4467
24,113.0,2.4714,1.781,3.8185,3.5015,2.9441,High-Performance,1.7491,5.7546,2.8008,4.7457,2.476,222.8891
25,114.0,3.9294,1.3715,3.1105,2.1583,2.9429,Economy,1.2867,5.3398,2.5944,3.1701,2.2088,201.0677
26,115.0,2.8411,1.4819,2.2323,3.7646,2.6333,High-Performance,0.3045,5.6896,2.6969,4.0086,3.1859,226.23
27,116.0,3.0656,1.3738,1.8474,3.9974,2.5780000000000003,Economy,0.0877,5.4182,2.6128,4.6034,2.5323,215.1631
28,117.0,3.7201,1.1549,1.1284,3.468,2.8802,High-Performance,1.6113,5.0582,2.2325,4.4857,2.7431,203.8182
29,118.0,3.5283,1.8998,2.6199,2.7474,2.8605,High-Performance,1.483,5.8696,2.3324,4.8887,2.8777,181.9162
