,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,156.0,2.2552,1.1083,1.0833,3.9839,2.4723,High-Performance,1.4588,5.276,2.7,3.2378,3.184,596.0207
1,157.0,2.3997,1.7984,3.0507,3.4499,2.2099,Sports,1.7928,5.6231,2.7371,3.86,3.7617,593.9
2,158.0,2.7304,1.0448,2.24,3.764,2.0669,High-Performance,1.4613,5.0077,2.5227,4.1157,2.8945,571.5811
3,159.0,3.3315,1.2406,3.1968,2.596,2.7012,High-Performance,0.7078,5.3751,2.8944,4.6197,2.5972,609.9171
4,160.0,3.9089,1.4797,2.7468,3.4706,2.2881,Sports,0.1124,5.9259,2.4431,3.131,3.219,714.9143
5,161.0,3.1137,1.8488,3.1583,2.2555,2.8999,High-Performance,1.2723,5.0893,2.54,3.1339,3.1491,768.2107
6,162.0,3.5380000000000003,1.6069,1.4944,2.2142,2.7314,High-Performance,0.9316,5.9262,2.5334,4.2101,2.1718,821.556
7,163.0,2.0944,1.6815,3.1268,3.6497,2.8642,High-Performance,0.1379,5.0157,2.8626,3.6585,2.377,750.8147
8,164.0,2.2203,1.3968,3.6576,3.1136,2.2167,High-Performance,0.9928,5.8767,2.7077,3.8554,2.4385,551.0738
9,165.0,3.1918,1.3737,1.8455,3.2631,2.8121,Sports,0.9636,5.3411,2.0059,4.9041,3.6551,533.953
10,166.0,3.6178,1.7781,3.053,2.6514,2.8756,Sports,1.4403,5.7232,2.7981,4.3023,2.0139,580.5213
11,167.0,3.4937,1.0522,2.6733,3.0504,2.8227,Economy,1.4003,5.0339,2.3059,3.2979,2.3762,677.4026
12,168.0,2.6010000000000004,1.1831,2.6306,2.0552,2.9930000000000003,High-Performance,0.8419,5.1904,2.318,3.4859,2.662,684.5258
13,169.0,3.8874,1.984,3.1434,2.4922,2.7593,High-Performance,0.4515,5.9725,2.9468,3.5849,3.3487,847.0962
14,170.0,3.4707,1.9719,2.2667,2.9283,2.5434,Economy,0.0396,5.8727,2.4834,3.812,3.8458,803.8593
15,171.0,2.2119,1.6217,1.3093,2.3995,2.3804,Economy,0.1816,5.6851,2.1464,3.9291,3.5665,541.1583
16,172.0,2.959,1.2678,1.8324,3.4598,2.9012,High-Performance,0.9091,5.2605,2.1725,3.9736,3.8043,580.0277
17,173.0,2.439,1.7779,2.474,2.3442,2.4357,Sports,0.6689,5.2788,2.1102,4.5409,3.3668,461.9539
18,174.0,2.2994,1.1284,3.938,3.9413,2.1376,High-Performance,1.5232,5.5919,2.5183,3.1865,3.7185,335.2789
19,175.0,2.4425,1.8826,2.9891,2.3119,2.8803,Economy,0.5427,5.4636,2.6060000000000003,3.2806,2.1959,260.6825
20,176.0,2.112,1.5882,2.6258,3.7351,2.8096,Sports,0.1872,5.6478,2.6254,4.3722,3.4867,264.1558
21,177.0,2.2738,1.8205,3.88,3.6335,2.4147,Economy,1.0606,5.6701,2.6167,3.4876,2.2557,250.2245
22,178.0,3.4526,1.0705,2.1096,3.3277,2.0357,Economy,0.7946,5.8135,2.0799,3.3166,2.6244,309.2332
23,179.0,3.1379,1.3184,2.5729,2.5159,2.2111,High-Performance,1.2776,5.6127,2.2866,4.5733,3.3396,301.0815
24,180.0,3.1967,1.9488,1.9537,2.6695,2.1425,High-Performance,1.8819,5.65,2.2236,3.4522,2.4883,354.721
25,181.0,2.651,1.2666,3.8968,2.2805,2.4166,High-Performance,0.2371,5.8803,2.8983,4.3256,2.628,308.7561
26,182.0,2.5481,1.3451,3.4354,2.763,2.898,High-Performance,0.2563,5.8509,2.1062,3.3804,2.1848,256.2798
27,183.0,2.0429,1.4849,2.0892,2.8328,2.1002,Sports,1.672,5.7182,2.1468,4.9098,2.878,125.1411
28,184.0,3.3255,1.8651,3.8866,2.616,2.6256,Economy,1.7045,5.7116,2.4677,3.8939,2.5305,163.2619
29,185.0,3.9151,1.398,1.1186,2.1734,2.444,High-Performance,1.2854,5.6561,2.9579,3.9893,2.6447,228.3703
