,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11
0,83.0,3.7349,1.2484,2.8672,3.0941,2.3538,High-Performance,1.0683,5.6526,2.2845,3.1364,2.5502,664.6017
1,84.0,3.5419,1.5623,3.4032,2.3426,2.7722,Economy,1.0813,5.7034,2.3644,3.9169,2.2399,621.9469
2,85.0,3.7112,1.7652,1.6649,3.1797,2.4936,Sports,0.1181,5.6077,2.2499,3.9337,2.6009,511.1423
3,86.0,2.5607,1.5384,2.4694,3.2931,2.9973,High-Performance,1.4763,5.0856,2.6562,4.766,2.5579,566.106
4,87.0,3.8217,1.7886,2.8258,3.9069,2.5464,Sports,1.2117,5.808,2.2455,3.5172,3.2919,560.5648
5,88.0,3.7499,1.1337,1.4913,3.9662,2.0829,Economy,1.4222,5.3878,2.3718,4.3418,3.9235,584.086
6,89.0,2.7426,1.8924,2.2821,2.0616,2.6625,Sports,0.5625,5.8555,2.354,3.4603,2.9074,545.696
7,90.0,3.6741,1.7037,2.3553,3.1618,2.7106,Sports,0.9682,5.0966,2.6761,4.0062,2.1137,587.17
8,91.0,3.4685,1.3801,1.7019,3.8315,2.662,High-Performance,0.4931,5.0717,2.8758,4.1282,2.4889,539.0286
9,92.0,3.2305,1.1861,3.684,3.0124,2.8337,High-Performance,0.2749,5.6352,2.8482,4.1327,3.042,515.7081
10,93.0,3.5527,1.1019,1.9335,2.6726,2.1184,Economy,0.4989,5.7131,2.04,3.6727,2.2403,417.7966
11,94.0,3.8858,1.9343,1.257,2.332,2.5687,High-Performance,1.6764,5.8964,2.9451,3.5128,2.7873,456.8412
12,95.0,3.1219,1.1556,2.4254,2.1976,2.5323,Economy,1.5252,5.5581,2.9383,4.7437,3.3999,473.3655
13,96.0,2.9829,1.0585,1.2084,3.8435,2.5372,High-Performance,0.5688,5.7747,2.5354,3.8954,2.8233,460.02
14,97.0,3.2837,1.6215,3.1267,2.6464,2.7109,Sports,0.1004,5.2426,2.0345,4.1494,3.1845,461.6702
15,98.0,2.2606,1.9474,2.6391,3.3699,2.9642,Economy,0.0083,5.5435,2.2652,3.7519,3.9155,553.905
16,99.0,3.6779,1.0826,3.9131,2.4702,2.7779,Sports,1.1399,5.9235,2.6749,3.1898,2.7144,559.4358
17,100.0,2.1865,1.045,3.2885,2.1738,2.3039,Economy,0.6732,5.546,2.4244,3.4723,2.665,506.5978
18,101.0,2.5398,1.7913,3.3146,2.5268,2.7815,Economy,0.8876,5.2119,2.8574,3.5439,3.1216,498.7626
19,102.0,3.634,1.2231,1.3158,3.786,2.2005,High-Performance,1.8462,5.2389,2.1695,4.3332,3.9,504.675
20,103.0,3.4666,1.1537,2.7194,3.1823,2.6389,High-Performance,0.1176,5.7163,2.9983,4.9622,2.7998,433.4667
21,104.0,3.3825,1.1623,1.3299,3.819,2.6018,Economy,1.1777,5.5136,2.4863,4.3856,3.0441,461.1196
22,105.0,3.2481,1.545,1.9734,2.6924,2.2057,Economy,0.6063,5.6399,2.5505,4.4376,2.7098,431.24
23,106.0,2.4865,1.1669,2.7734,3.137,2.484,High-Performance,0.8139,5.4277,2.321,4.1079,3.9293,482.8272
24,107.0,2.6202,1.7484,3.793,2.3518,2.2539,Sports,0.0333,5.3504,2.415,4.8473,3.4357,360.8172
25,108.0,2.8568,1.9892,1.7633,2.6112,2.7446,Economy,1.7872,5.0824,2.0241,4.2838,3.5906,448.4935
26,109.0,2.4455,1.8608,3.2106,2.7672,2.985,High-Performance,1.9469,5.2009,2.3979,3.2873,2.9719,471.0668
27,110.0,3.0066,1.8716,2.6458,2.7479,2.3257,Economy,1.4329,5.3988,2.5725,3.8352,3.3127,519.5217
28,111.0,3.205,1.4636,1.4541,2.5708,2.9123,Sports,0.4426,5.0023,2.863,4.0434,3.1822,446.1871
29,112.0,3.9641,1.6852,2.7965,3.9415,2.4188,Economy,1.8139,5.6522,2.7714,3.6962,3.1888,535.6406
