,Engine ID,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11,Cost
0,191.0,1.0,2.8007,1.5421,3.6862,3.4554,2.4095,High-Performance,0.9483,5.1538,2.4492,4.4888,2.6156,92.9093,10.0
1,191.0,2.0,3.4194,1.6825,3.3213,2.1581,2.5268,Economy,1.2823,5.2861,2.1365,3.5532,2.2833,208.5839,10.0
2,191.0,3.0,3.3129,1.3705,3.8544,3.0225,2.2865,Economy,1.8774,5.406000000000001,2.1716,4.3211,2.6372,442.08,10.0
3,191.0,4.0,2.9107,1.1199,3.3469,2.3388,2.4283,High-Performance,0.8433,5.3166,2.4128,4.382,3.3931,836.6032,10.0
4,191.0,5.0,3.8634,1.2396,2.5926,2.2736,2.6684,Sports,1.0415,5.1676,2.0062,4.7522,2.2415,1053.1336,10.0
5,191.0,6.0,3.7807,1.1634,2.1303,2.0299,2.9775,High-Performance,0.7898,5.9506,2.353,3.3329,3.7178,1144.6106,10.0
6,191.0,7.0,3.7976,1.1858,1.7656,2.4752,2.9631,Economy,0.2034,5.9166,2.6052,4.9821,3.0980000000000003,1168.6373,10.0
7,191.0,8.0,3.5166,1.3891,2.2415,2.7713,2.7756,Sports,1.3393,5.0644,2.5274,3.1519,2.2924,1155.4347,10.0
8,191.0,9.0,2.4376,1.3989,1.8446,2.6208,2.5258,Economy,0.3541,5.5396,2.7139,3.3192,2.4497,1128.5681,10.0
9,191.0,10.0,3.2023,1.4479,3.6111,3.2199,2.2389,High-Performance,0.4096,5.9209,2.3457,4.189,3.5901,1268.3821,10.0
10,191.0,11.0,3.6674,1.9934,2.9548,3.7154,2.7066,High-Performance,1.4416,5.3619,2.4059,4.0177,3.8069,1314.8968,10.0
11,191.0,12.0,3.5684,1.2633,3.9466,3.9755,2.4156,Economy,1.9492,5.6013,2.9551,4.9306,2.0512,1313.6604,10.0
12,191.0,13.0,2.4389,1.8454,3.0876,2.859,2.0837,High-Performance,1.0973,5.7394,2.7239999999999998,4.5664,2.3442,1410.6751,10.0
13,191.0,14.0,3.8348,1.5795,3.0984,2.5028,2.6622,Economy,0.1235,5.5414,2.1003,4.3329,2.3895,1343.2477,10.0
14,191.0,15.0,3.325,1.9119,2.7969,2.1296,2.101,High-Performance,0.2963,5.0587,2.7509,4.1977,2.0540000000000003,1184.9288,304.998119
15,191.0,16.0,3.4306,1.9207,2.5394,2.4634,2.9362,High-Performance,1.7649,5.8783,2.7932,4.3677,2.1637,1021.6911,305.9426093
16,191.0,17.0,3.7932,1.8327,2.4606,3.4765,2.3812,Economy,1.9161,5.4363,2.5091,3.7474,2.5229,984.8884,306.7363403
17,191.0,18.0,3.3647,1.6689,1.178,3.6967,2.3383,Sports,0.8833,5.6162,2.1959999999999997,3.9519,3.5576,1070.3197,307.3777715
18,191.0,19.0,3.0642,1.2063,2.9053,3.7460000000000004,2.9803,Sports,0.8209,5.3078,2.2721,4.2395,3.9441,1208.7034,307.7668658
19,191.0,20.0,3.9533,1.3081,2.8412,3.4151,2.5571,Sports,0.9696,5.3871,2.2866,4.458,3.1606,1393.7022,308.1249245
20,191.0,21.0,2.4330000000000003,1.0086,2.6109,2.3556,2.1768,Sports,0.1651,5.9017,2.5682,4.3187,2.7764,1481.7282,308.4751312
21,191.0,22.0,2.6584,1.0975,1.423,2.9456,2.9585,Economy,0.8031,5.6944,2.7042,4.0768,2.8736,1506.158,308.8258944
22,191.0,23.0,3.3794,1.6059,1.6797,3.6706,2.3724,Economy,0.2413,5.0617,2.3423,3.2747,3.9904,1510.1848,309.1961934
23,191.0,24.0,3.8295,1.4849,2.8722,3.46,2.8598,Sports,1.2637,5.917000000000001,2.9827,3.7578,2.8525,1349.9095,309.4386107
24,191.0,25.0,2.2424,1.5856,1.3644,2.9771,2.8781,High-Performance,0.9377,5.0013,2.5821,4.8849,2.0242,1306.9213,309.4884523
25,191.0,26.0,2.8545,1.5345,1.8763,3.7623,2.853,Economy,0.9825,5.3714,2.755,3.6844,3.9927,1522.6925,309.708843
26,191.0,27.0,3.2358,1.7042,3.4395,3.7203,2.1255,High-Performance,0.1213,5.8478,2.4251,4.7392,3.76,1526.0865,309.934731
27,191.0,28.0,2.8954,1.9772,1.0270000000000001,3.0689,2.3593,Sports,0.3934,5.2001,2.1116,4.7461,3.5218,1428.9667,309.9665375
28,191.0,29.0,3.3127,1.9721,3.5403,2.0387,2.2742,High-Performance,1.2551,5.4364,2.6148,3.0251,3.4002,1441.8797,310.0808738
29,191.0,30.0,3.5915,1.1189,3.9586,3.0366,2.4336,High-Performance,1.1018,5.6978,2.957,3.1387,3.7385,1636.6283,310.5517243
30,191.0,31.0,3.0411,1.205,2.3219,2.1166,2.7753,Economy,0.2157,5.292999999999999,2.3232,3.4815,2.5166,1343.0393,310.8831043
31,191.0,32.0,3.4755,1.0278,3.9699,3.4438,2.9046,Sports,0.0917,5.1749,2.065,4.0971,3.4073,1304.3984,311.2171959
32,191.0,33.0,3.2089,1.7571,2.5929,3.2502,2.9992,High-Performance,0.953,5.7965,2.0273,4.9754,3.9883,1312.9016,311.477875
33,191.0,34.0,2.531,1.4097,1.3394,2.4089,2.5198,Economy,1.4318,5.8397,2.9835,3.2006,2.8124,1246.8305,311.5269924
34,191.0,35.0,3.8055,1.1538,2.1618,3.9554,2.7997,Economy,1.8106,5.7697,2.167,4.4742,3.161,1358.6961,311.5079083
