,Engine ID,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11,Cost
0,8.0,1.0,3.4393,1.4683,2.113,2.4266,2.5032,Economy,1.2552,5.7896,2.1069999999999998,3.5432,2.5895,145.0216,10.0
1,8.0,2.0,2.156,1.4295,2.5403,2.8013,2.9994,Sports,1.1027,5.2134,2.3375,4.9502,2.9579,369.2871,10.0
2,8.0,3.0,2.3138,1.911,3.7893,3.4153,2.7659,High-Performance,1.1835,5.9018,2.4299,3.634,2.6151,651.7928,10.0
3,8.0,4.0,3.4560000000000004,1.9744,1.9688,3.6285,2.9815,High-Performance,1.51,5.9999,2.91,4.8877,2.6194,1156.4602,10.0
4,8.0,5.0,3.9476,1.1559,3.2476,2.7857,2.2644,Sports,0.2341,5.9791,2.8002,3.4798,3.8832,1565.3905,10.0
5,8.0,6.0,3.9959,1.3682,2.7807,2.6049,2.6262,Economy,0.9103,5.472,2.1709,3.4848,3.7932,1679.8141,10.0
6,8.0,7.0,2.5154,1.6723,2.1155,3.5192,2.2098,Sports,1.4487,5.7917,2.4494,3.4238,2.5332,1708.9626,10.0
7,8.0,8.0,2.8739,1.3069,2.4146,3.6833,2.3886,Economy,0.8757,5.0142,2.313,3.1632,3.7684,1745.1782,10.0
8,8.0,9.0,3.3723,1.0781,3.455,2.9143,2.6382,High-Performance,1.5492,5.888,2.7688,4.2757,2.7979,1694.0493,10.0
9,8.0,10.0,3.5079,1.8339,2.5605,2.6772,2.5576,High-Performance,1.5024,5.5156,2.4013,3.0195,2.0316,1613.8364,10.0
10,8.0,11.0,3.3826,1.6893,3.2991,3.8009,2.8177,High-Performance,0.1489,5.7809,2.8678,4.8264,2.8046,1612.2054,10.0
11,8.0,12.0,3.2136,1.0341,2.4201,2.7675,2.4141,High-Performance,1.9003,5.1678,2.1353,4.031000000000001,2.6373,1659.013,10.0
12,8.0,13.0,3.6274,1.5093,1.1151,3.2216,2.6097,High-Performance,1.9805,5.8912,2.2423,4.2967,2.4666,1707.773,10.0
13,8.0,14.0,2.0196,1.7464,2.8710000000000004,2.479,2.7216,High-Performance,1.8655,5.895,2.0786,3.4317,2.6118,1513.3386,10.0
14,8.0,15.0,3.4656,1.9872,3.4769,2.6004,2.7042,High-Performance,0.5902,5.4137,2.9941,3.5196,3.0051,1546.2696,33.0593987
15,8.0,16.0,2.4177,1.8624,1.8849,3.9707,2.2211,High-Performance,0.5457,5.7471,2.0839,3.9149,3.7252,1441.6132,34.372129
16,8.0,17.0,2.6124,1.9366,2.3768,2.1368,2.9759,Economy,1.065,5.3964,2.4381,4.7433,3.5449,1351.2097,35.369789600000004
17,8.0,18.0,2.6236,1.5623,2.7269,3.5882,2.6551,Economy,0.5577,5.9139,2.8253,3.0081,3.0579,1355.9961,36.0875523
18,8.0,19.0,2.8037,1.9811,1.6226,3.5337,2.6541,Economy,0.0791,5.1774,2.4196,3.7981,3.6165,1379.7972,36.321639000000005
19,8.0,20.0,3.2272,1.6119999999999999,1.5351,3.8889,2.0999,Sports,1.7955,5.6338,2.9446,4.1375,3.9010000000000002,1417.1522,36.189398600000004
20,8.0,21.0,3.6834,1.7111,3.2631,3.3557,2.3801,High-Performance,0.2929,5.6449,2.9784,4.8584,2.0957,1540.1609,36.065802
21,8.0,22.0,2.4123,1.53,3.2182,2.2104,2.489,Economy,1.7374,5.544,2.9516,4.2126,3.1942,1510.8295,35.8844896
22,8.0,23.0,2.8283,1.11,3.4437,3.7179,2.2937,High-Performance,1.2041,5.7869,2.5056,4.4142,3.8277,1530.0620000000001,35.6877037
23,8.0,24.0,2.3918,1.1081,3.2909,2.7632,2.5521,High-Performance,1.7996,5.2122,2.3663,4.6205,2.8984,1438.6032,35.445523200000004
24,8.0,25.0,3.6822,1.6338,1.2786,3.7991,2.6138,Economy,1.5745,5.0489999999999995,2.3203,3.4643,2.6429,1418.9223,35.266060100000004
25,8.0,26.0,3.7236,1.0971,1.0834,3.7385,2.6326,High-Performance,1.2642,5.1456,2.2767,4.4126,2.7411,1477.7097,35.1432616
26,8.0,27.0,2.5325,1.1415,2.3322,2.5969,2.0256,Sports,0.4096,5.3006,2.1579,3.4846,2.9048,1406.8216,34.903235300000006
27,8.0,28.0,2.4011,1.2148,3.0847,3.1671,2.1786,Sports,0.6824,5.882999999999999,2.667,3.3746,2.1152,1387.0728,34.5953432
