,Engine ID,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11,Cost
0,103.0,1.0,3.8826,1.6101,1.6187,3.4847,2.229,Sports,1.6089,5.0837,2.9551,3.5639999999999996,3.7239,134.4551,10.0
1,103.0,2.0,2.2884,1.5364,2.3323,3.9127,2.1856,Sports,0.2215,5.7171,2.6636,3.3503,2.6949,323.8175,10.0
2,103.0,3.0,2.3126,1.258,1.5658,3.4926,2.5965,Sports,1.5604,5.5796,2.3741,3.6109,2.5451,535.007,10.0
3,103.0,4.0,3.8326,1.1519,1.6844,3.3868,2.3915,High-Performance,0.7711,5.282,2.4548,3.6564,2.7822,884.5189,10.0
4,103.0,5.0,3.1693,1.9949,2.4078,2.519,2.4777,Economy,1.6283,5.479,2.6586,4.1301,3.5875,1176.8339999999998,10.0
5,103.0,6.0,2.3223,1.9419,1.5328,2.8169,2.7261,High-Performance,1.5669,5.6179,2.1914,4.9584,2.8865,1170.0298,10.0
6,103.0,7.0,3.8245,1.0299,1.3456,3.9745,2.3525,High-Performance,0.6162,5.7902,2.7652,4.9121,3.9219999999999997,1260.7333,10.0
7,103.0,8.0,3.5179,1.5069,1.7475,3.1563,2.0825,Economy,1.6943,5.1964,2.7537,3.9111,2.9859,1288.9589999999998,10.0
8,103.0,9.0,3.6926,1.9583,2.2119999999999997,2.049,2.6752,Sports,1.6875,5.3870000000000005,2.8136,4.4998,2.3389,1368.1229999999998,10.0
9,103.0,10.0,3.9748,1.155,2.574,2.3319,2.0429,Sports,0.8577,5.015,2.0696,4.2531,3.4613,1435.9205,10.0
10,103.0,11.0,3.855,1.1266,1.3968,2.8646,2.0049,Sports,1.2129,5.5246,2.6431,3.7249,2.4231,1449.2696,10.0
11,103.0,12.0,2.1671,1.8902,2.3955,2.5832,2.6319,Economy,1.4457,5.3126,2.8641,3.4295,2.4122,1321.7897,10.0
12,103.0,13.0,3.5276,1.5885,3.3199,3.5018,2.1045,Sports,0.8469,5.9559,2.4303,4.3376,2.8541,1429.2295,10.0
13,103.0,14.0,2.8011,1.1307,1.3225,2.7901,2.269,High-Performance,0.3027,5.6133,2.9261,3.0787,2.9727,1300.7509,10.0
14,103.0,15.0,2.5451,1.4373,2.3865,3.0641,2.0807,Sports,0.174,5.0017,2.8256,4.8674,2.2879,1131.815,172.8132061
15,103.0,16.0,2.282,1.3253,1.8681,3.4061,2.0011,High-Performance,1.1133,5.5972,2.485,4.5954,2.2631,1168.3652,173.8592921
16,103.0,17.0,2.2840000000000003,1.4155,2.3928,3.3143,2.7528,Sports,0.0219,5.1828,2.9466,3.4988,3.4877,1113.8666,174.6647356
17,103.0,18.0,3.4704,1.6434,3.717,2.6694,2.9228,High-Performance,0.3563,5.0424,2.8043,3.8829,3.7949,1102.8422,175.250979
18,103.0,19.0,3.1293,1.8974,2.7007,2.8607,2.1436,Economy,1.7368,5.7672,2.3541,4.6,3.8083,1255.3934,175.6404579
19,103.0,20.0,3.3497,1.6509,3.2042,3.5467,2.8566,High-Performance,0.0433,5.1415,2.738,4.5514,2.7329,1275.358,175.75374490000002
20,103.0,21.0,3.6147,1.1735,1.2083,3.5074,2.4819999999999998,Economy,1.922,5.4546,2.7792,3.1615,3.6261,1337.8317,175.936915
21,103.0,22.0,3.3528,1.515,3.1583,3.8313,2.6155,Sports,0.8087,5.0138,2.0114,3.7916,3.5951,1396.0923,176.0864348
22,103.0,23.0,3.9591,1.6429,2.0004,2.1195,2.0796,Sports,0.0161,5.2371,2.1068,4.6386,3.7527,1457.3533,176.2688294
23,103.0,24.0,2.0237,1.1028,1.2566,2.5336,2.4235,Economy,0.8272,5.1865,2.7239999999999998,3.0469,2.2201,1216.1891,176.1259265
24,103.0,25.0,3.5335,1.1666,2.6525,2.1751,2.5748,Economy,1.3103,5.5751,2.5807,4.9311,2.6998,1224.589,175.9310592
25,103.0,26.0,3.6533,1.1374,3.0048,3.8117,2.1859,Sports,0.6706,5.5034,2.7899,3.5136,2.2893,1346.1412,175.8447142
26,103.0,27.0,3.8423,1.855,1.3332,3.6659,2.6466,Sports,1.4568,5.5926,2.6037,4.459,2.9492,1273.6979,175.8148947
27,103.0,28.0,2.8234,1.2478,2.1635,3.6693,2.8782,High-Performance,1.8849,5.5754,2.4446,3.5166,2.4056,1202.7191,175.6015265
28,103.0,29.0,2.6180000000000003,1.6063,2.4847,2.0681,2.5780000000000003,Sports,0.6257,5.3193,2.8792,3.4481,3.2584,1276.3594,175.5938139
29,103.0,30.0,2.1772,1.1229,1.7866,3.0615,2.6849,High-Performance,1.5821,5.5553,2.3537,4.3344,3.7011,1158.2171,175.6369054
30,103.0,31.0,2.3742,1.3713,3.7803,3.4955,2.5177,Sports,0.2917,5.6359,2.8007,3.0771,3.9601,1030.6571,175.5165652
31,103.0,32.0,3.7411,1.8944,1.4824,3.1553,2.7752,Economy,1.6267,5.9328,2.5608,4.27,2.6007,1116.6367,175.5370775
32,103.0,33.0,3.8901,1.7563,3.7785,2.9147,2.8554,High-Performance,0.7455,5.4219,2.9785,4.4646,2.9324,1189.0702,175.6397396
33,103.0,34.0,3.6074,1.3501,1.2769,2.37,2.346,Sports,0.5015,5.4858,2.3255,4.6486,2.4545,1276.4704,175.6711848
34,103.0,35.0,3.8358,1.2565,1.136,2.2239,2.5641,High-Performance,0.6121,5.9273,2.0974,3.2669,2.5836,1316.1561,175.7226713
35,103.0,36.0,3.5684,1.9466,3.7313,3.1202,2.391,Economy,1.4109,5.9935,2.1776,3.9216,2.1594,1376.318,175.7776488
36,103.0,37.0,2.7960000000000003,1.1639,2.8111,3.7834,2.4312,Economy,0.7864,5.1555,2.6832,4.569,3.9643,1437.7726,175.8347796
37,103.0,38.0,2.6551,1.2159,2.8744,3.7864,2.6559,Sports,0.4032,5.0763,2.5833,3.2831,2.4599,1195.2227,175.5870897
38,103.0,39.0,3.7817,1.4455,3.1151,2.7432,2.4408,Economy,0.9066,5.9188,2.4236,4.3853,2.3815,1268.597,175.6606948
