,Engine ID,cycle,IoT1,IoT2,IoT3,IoT4,IoT5,Mode,IoT6,IoT7,IoT8,IoT9,IoT10,IoT11,Cost
0,20.0,1.0,3.6602,1.9125,1.5630000000000002,2.9047,2.676,Sports,1.0258,5.8642,2.7663,4.8098,3.5755,138.3488,10.0
1,20.0,2.0,3.7755,1.6296,3.4299,2.8985,2.0051,Economy,0.1784,5.7378,2.3732,4.3964,2.8944,394.5614,10.0
2,20.0,3.0,3.0651,1.3299,2.3759,3.3937,2.3304,Economy,0.1274,5.7684,2.1293,4.2259,2.0052,652.401,10.0
3,20.0,4.0,2.5084,1.1616,1.4563,2.156,2.7684,Economy,0.6543,5.2113,2.443,4.9527,2.1298,968.6349,10.0
4,20.0,5.0,3.9152,1.8854,1.8591,2.5779,2.9355,Sports,1.1832,5.83,2.5884,3.5343,3.8752,1304.5066,10.0
5,20.0,6.0,3.3186,1.6734,1.5988,3.7318,2.9413,Economy,0.4744,5.7227,2.6222,4.8265,3.7194,1276.3975,10.0
6,20.0,7.0,2.4632,1.8863,3.4964,2.2966,2.6421,Sports,1.1235,5.996,2.4783,4.3974,2.1493,1153.2114,10.0
7,20.0,8.0,3.7303,1.2077,1.17,3.0074,2.8448,Sports,1.7546,5.2221,2.678,3.0306,2.1418,1266.5217,10.0
8,20.0,9.0,3.2901,1.9221,3.0911,2.9716,2.9085,Sports,0.5037,5.3816,2.8017,4.9978,3.4511,1327.2205,10.0
9,20.0,10.0,2.9465,1.72,2.964,3.9083,2.6493,Economy,0.8238,5.7946,2.9611,4.6495,2.3859,1260.1737,10.0
10,20.0,11.0,2.9269,1.4267,3.3552,3.2439999999999998,2.2873,High-Performance,0.9317,5.6952,2.1516,3.5419,3.6317,1250.4679,10.0
11,20.0,12.0,2.5659,1.2538,1.6344,2.4879,2.9647,Sports,1.9527,5.2959,2.2099,4.8519,3.7928,1180.9609,10.0
12,20.0,13.0,2.5328,1.7388,2.7876,2.4126,2.2984,High-Performance,1.9340000000000002,5.3484,2.1381,4.8621,3.7472,1096.7830000000001,10.0
13,20.0,14.0,2.6308,1.6423,1.3842,3.9032,2.0507,High-Performance,1.3142,5.2481,2.9951,3.8342,2.5672,1079.3086,10.0
14,20.0,15.0,3.9413,1.6751,1.225,2.0714,2.6858,Sports,0.9206,5.3020000000000005,2.0789,4.8469,3.1047,1078.8743,46.2977178
15,20.0,16.0,2.3209999999999997,1.7101,2.2939,3.1575,2.3992,High-Performance,1.3256,5.2037,2.3025,3.9051,3.8099,1026.2201,47.1982596
16,20.0,17.0,2.6024,1.9068,1.2231,3.5099,2.2743,Sports,1.8967,5.0952,2.7905,3.9799,3.8396,1093.2923,47.9117901
17,20.0,18.0,2.2799,1.6401,2.4245,2.7169,2.7586,Sports,1.8847,5.474,2.7554,4.1819999999999995,2.246,1057.3629,48.3333629
18,20.0,19.0,2.4667,1.535,2.9993,2.799,2.5791,Economy,1.2472,5.1455,2.2583,3.1653,3.5333,989.5652,48.3715801
19,20.0,20.0,2.5758,1.2097,3.1041,3.8009,2.7,High-Performance,1.0014,5.0731,2.9978,3.6945,3.795,985.7471,48.0675887
20,20.0,21.0,2.1975,1.3839,1.6346,2.1586,2.1177,Sports,0.9542,5.0248,2.2339,3.7435,2.5664,914.6894,47.714266599999995
21,20.0,22.0,3.4638,1.903,3.1439999999999997,2.6323,2.2915,Sports,0.1619,5.5452,2.075,3.3478,3.6379,963.675,47.5390035
22,20.0,23.0,3.3161,1.516,2.1564,2.6488,2.6069,Economy,1.7254,5.877999999999999,2.2661,3.1242,3.2872,1027.638,47.316857600000006
